Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
BTNC,บริษัท บูติคนิวซิตี้ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"1,140,000",,0,,"1,140,000",0,"553,000,000.00","231,000,000.00"
BTS,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,55360000,3230000,12100000,0,58590000,12100000,"322,000,000,000.00","18,100,000,000.00"
BTSGIF,กองทุนรวมโครงสร้างพื้นฐานระบบขนส่งมวลชนทางราง บีทีเอสโกรท,SET,บริการ,ขนส่งและโลจิสติกส์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,800,000.00",,"1,040,000.00",,"1,800,000.00","1,040,000.00",,
BTW,บริษัท บีที เวลธ์ อินดัสตรีส์ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,"600,000",,0,,,,"602,000,000.00","534,000,000.00"
BUI,บริษัท บางกอกสหประกันภัย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"3,450,000",,0,,"3,450,000",0,"1,920,000,000.00","1,110,000,000.00"
BVG,บริษัท บลูเวนเจอร์ กรุ๊ป จำกัด (มหาชน),mai,เทคโนโลยี,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอ เอส จำกัด,2350000,,,,2350000,,"956,000,000.00","594,000,000.00"
BWG,บริษัท เบตเตอร์ เวิลด์ กรีน จำกัด (มหาชน),SET,บริการ,บริการเฉพาะกิจ,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"1,400,000",,0,,"1,400,000",0,"8,930,000,000.00","2,730,000,000.00"
B-WORK,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์บัวหลวง ออฟฟิศ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,1370000,0,23500,0,1370000,23500,"4,250,000,000.00","538,000,000.00"
BYD,บริษัทหลักทรัพย์ บียอนด์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"3,800,000",,0,,"3,800,000",0,"5,080,000,000.00","1,160,000,000.00"
CAZ,บริษัท ซี เอ แซด (ประเทศไทย) จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,FORVIS MAZARS COMPANY LIMITED,บริษัท ฟอร์วิส มาซาร์ส จำกัด,"2,500,000.00","400,000.00",,,"2,900,000.00",0,"1,720,000,000.00","1,990,000,000.00"
CBG,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,7252726,2023061,1550000,0,9275787,1550000,"19,000,000,000.00","22,000,000,000.00"
CCET,บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,5200000,1255047,1900000,0,6455047,1900000,"77,100,000,000.00","139,000,000,000.00"
CCP,บริษัท ผลิตภัณฑ์คอนกรีตชลบุรี จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,"M.R. & ASSOCIATES CO., LTD.",บริษัท เอ็ม อาร์ แอนด์ แอสโซซิเอท จำกัด,"5,460,000.00",,0,0,"5,460,000.00",0,"3,140,000,000.00","2,520,000,000.00"
CEN,บริษัท แคปปิทอล เอ็นจิเนียริ่ง เน็ตเวิร์ค จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,SP AUDIT COMPANY LIMITED,บริษัท เอส พี ออดิท จำกัด,1600000,3990000,0,0,5590000,0,"2,510,000,000.00","837,000,000.00"
CENTEL,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"16,874,339",,"154,550",,"16,874,339","154,550","62,700,000,000.00","24,000,000,000.00"
CEYE,บริษัท ตาชำนิ จำกัด (มหาชน),mai,บริการ,-,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,,,,,,,"749,000,000.00","439,000,000.00"
CFARM,บริษัท ชูวิทย์ฟาร์ม (2019) จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,"M.R. & ASSOCIATES CO., LTD.",ไม่ระบุในแหล่งข้อมูล,,,,,,,"840,000,000.00","210,000,000.00"
CFRESH,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,FORVIS MAZARS COMPANY LIMITED,บริษัท ฟอร์วิส มาซาร์ส จำกัด,2750000,7916150,0,0,10666150,0,"5,750,000,000.00","7,910,000,000.00"
CGD,บริษัท คันทรี่ กรุ๊ป ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,2440000,0,0,0,2440000,0,"15,900,000,000.00","561,000,000.00"
CGH,บริษัท คันทรี่ กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",ไม่ระบุในแหล่งข้อมูล,,,,,,,"9,230,000,000.00","1,410,000,000.00"
CH,บริษัท เจริญอุตสาหกรรม จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1350000,1027545,0,0,2377545,0,"1,940,000,000.00","1,690,000,000.00"
CHAO,บริษัท เจ้าสัว ฟู้ดส์ อินดัสทรี จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,070,000.00","550,000.00","500,000.00",,"2,620,000.00","500,000.00","1,420,000,000.00","1,420,000,000.00"
CHARAN,บริษัท จรัญประกันภัย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,FORVIS MAZARS COMPANY LIMITED,บริษัท มาซาร์ส จำกัด,"2,600,000",,,,"2,600,000",0,"907,000,000.00","407,000,000.00"
CHASE,บริษัท เชฎฐ์ เอเชีย จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"2,540,000.00","3,060,000.00",0,0,"5,600,000.00",0,"3,910,000,000.00","736,000,000.00"
CHAYO,บริษัท ชโย กรุ๊ป จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,BDO AUDIT COMPANY LIMITED,บริษัท บีดีโอ ออดิท จำกัด,,,,,"3,680,000.00",0,"8,800,000,000.00","2,170,000,000.00"
CHEWA,บริษัท ชีวาทัย จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,EY OFFICE LIMITED,สำนักงาน อีวาย / สุภะ 14 ออดิท,"2,350,000.00","60,000.00",0,0,"2,410,000.00",0,"4,140,000,000.00","833,000,000.00"
CHG,บริษัท โรงพยาบาลจุฬารัตน์ จำกัด (มหาชน),SET,บริการ,การแพทย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,600,000",,0,0,,0,"10,200,000,000.00","8,350,000,000.00"
CHIC,บริษัท ชิค รีพับบลิค จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2700000,0,40000,0,2700000,40000,"1,820,000,000.00","604,000,000.00"
CHO,บริษัท ช ทวี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"ANS AUDIT CO., LTD.",บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"4,120,000",,0,,"4,120,000",0,"2,650,000,000.00","249,000,000.00"
CHOTI,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"2,300,000.00","480,000.00",,,"2,780,000.00",0,"2,130,000,000.00","2,430,000,000.00"
CHOW,บริษัท เชาว์ ไบรท์ เวนเจอร์ส โฮลดิ้งส์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,600,000.00","2,450,000.00","900,000.00",0,"4,050,000.00","900,000.00","3,010,000,000.00","1,230,000,000.00"
CI,บริษัท ชาญอิสสระ ดีเวล็อปเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,,,,,"5,137,300.00",0,"10,500,000,000.00","1,800,000,000.00"
CIG,บริษัท ซี.ไอ.กรุ๊ป จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"SAMNAK-NGAN A.M.C. CO., LTD.",บริษัท สำนักงาน เอ เอ็ม ซี จำกัด,1180000,0,154664.25,0,1180000,154664.25,"888,000,000.00","601,000,000.00"
CIMBT,ธนาคาร ซีไอเอ็มบี ไทย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,15070000,480000,190000,0,15550000,190000,"539,000,000,000.00","12,800,000,000.00"
CITY,บริษัท ซิตี้ สตีล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"DHARMNITI AUDITING CO., LTD.",บริษัท เอเอ็นเอส ออดิท จำกัด,,,,,"1,940,000.00",0,"1,300,000,000.00",
CIVIL,บริษัท ซีวิลเอนจีเนียริง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,EY OFFICE LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,,,"8,540,000,000.00","4,870,000,000.00"
CK,บริษัท ช.การช่าง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"12,447,000.00",,"1,300,000.00",,,,"117,000,000,000.00","44,000,000,000.00"
CKP,บริษัท ซีเค พาวเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,090,000",,,,,,"76,800,000,000.00","10,100,000,000.00"
CM,บริษัท เชียงใหม่โฟรเซ่นฟูดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,"AST MASTER CO., LTD.",บริษัท เอเอสที มาสเตอร์ จำกัด,"1,125,000.00",,"50,000.00",,"1,125,000.00","50,000.00","1,480,000,000.00","1,060,000,000.00"
CMAN,บริษัท เคมีแมน จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,PKF AUDIT (THAILAND) LIMITED,บริษัท พีเคเอฟ ออดิท (ประเทศไทย) จำกัด,"2,100,000.00",,"150,000.00",,"2,100,000.00","150,000.00","6,040,000,000.00","3,660,000,000.00"
CMC,บริษัท เจ้าพระยามหานคร จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"2,100,000.00",,,,"2,100,000.00",0,"7,000,000,000.00","1,190,000,000.00"
CMO,บริษัท ซีเอ็มโอ จำกัด (มหาชน),mai,บริการ,-,SP AUDIT COMPANY LIMITED,บริษัท เอส พี ออดิท จำกัด,"3,870,000.00",,0,,"3,870,000.00",0,"1,130,000,000.00","1,410,000,000.00"
CMR,บริษัท เชียงใหม่รามธุรกิจการแพทย์ จำกัด (มหาชน),SET,บริการ,การแพทย์,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,1235000,3168000,0,0,4403000,0,"8,150,000,000.00","2,500,000,000.00"
CNT,บริษัท คริสเตียนีและนีลเส็น (ไทย) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,850,000.00","1,690,000.00",0,0,"4,540,000.00",0,"6,600,000,000.00","7,430,000,000.00"
COCOCO,บริษัท ไทย โคโคนัท จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"3,540,000","630,000",0,0,"4,170,000",0,"7,870,000,000.00","6,700,000,000.00"
COLOR,บริษัท สาลี่ คัลเล่อร์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"2,778,000.00",,"98,145.00","100,000.00","2,778,000.00","198,145.00","1,340,000,000.00","1,020,000,000.00"
COM7,บริษัท คอมเซเว่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,"3,429,000.00","8,659,000.00",0,0,"12,088,000.00",0,"31,600,000,000.00","87,300,000,000.00"
COMAN,บริษัท โคแมนชี่ อินเตอร์เนชั่นแนล จำกัด (มหาชน),mai,เทคโนโลยี,-,A&A OFFICE COMPANY LIMITED,บริษัท ส ำนักงำน เอ แอนด์ เอ จ ำกัด,2350000,0,0,0,2350000,0,"148,000,000.00","166,000,000.00"
CPALL,บริษัท ซีพี ออลล์ จำกัด (มหาชน),SET,บริการ,พาณิชย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"6,200,000.00",,,,"6,200,000.00",,"983,000,000,000.00","991,000,000,000.00"
CPANEL,บริษัท ซีแพนเนล จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,BAKER TILLY AUDIT AND ADVISORY SERVICES (THAILAND) LTD.,บริษัท เบเคอร์ ทิลลี่ ออดิท แอนด์ แอ็ดไวเซอร์รี่ เซอร์วิสเซส (ประเทศไทย) จำกัด,1420000,0,0,0,1420000,0,"1,120,000,000.00","255,000,000.00"
CPAXT,บริษัท ซีพี แอ็กซ์ตร้า จำกัด (มหาชน),SET,บริการ,พาณิชย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"16,000,000.00","12,145,237.20","1,722,139.00",,"28,145,237.20","13,718,271.00","577,000,000,000.00","518,000,000,000.00"
CPF,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"4,250,000.00","65,578,564.17","180,000.00","7,515,751.86","69,828,564.17","7,695,751.86","862,000,000,000.00","571,000,000,000.00"
CPH,บริษัท คาสเซ่อร์พีคโฮลดิ้งส์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"971,000","1,088,000",,,"2,574,000",,"1,740,000,000.00","1,780,000,000.00"
CPI,บริษัท ชุมพรอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,825,000.00","840,000.00","535,000.00","360,000.00","2,665,000.00","895,000.00","4,770,000,000.00","5,330,000,000.00"
CPL,บริษัท ซีพีแอล กรุ๊ป จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,SP AUDIT COMPANY LIMITED,บริษัท เอส พี ออดิท จำกัด,"2,025,000.00",,0,0,"2,025,000.00",0,"1,960,000,000.00","1,820,000,000.00"
CPN,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"3,050,000.00","7,206,400.00","738,300.00",,"9,674,000.00","738,300.00","303,000,000,000.00","50,000,000,000.00"
CPNCG,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ CPN คอมเมอร์เชียล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"379,172.00",,,,"379,172.00",0,,
CPNREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ CPN รีเทล โกรท,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,1230000,0,80000,0,1230000,80000,"94,700,000,000.00","6,410,000,000.00"
CPR,บริษัท ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,KPMG PHOOMCHAI AUDIT LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,,,"579,000,000.00","360,000,000.00"
CPT,บริษัท ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"ANS AUDIT CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,,,,,"1,940,000.00",0,"1,530,000,000.00","992,000,000.00"
CPTREIT,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ ซี.พี.ทาวเวอร์,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"1,207,250.00",,0,,"1,207,250.00",0,,
CPW,บริษัท คอปเปอร์ ไวร์ด จำกัด (มหาชน),SET,บริการ,พาณิชย์,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"2,491,200","607,200",0,0,"3,098,400",0,"2,770,000,000.00","10,700,000,000.00"
CRANE,บริษัท ชูไก จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,PV AUDIT COMPANY LIMITED,บริษัท พีวี ออดิท จำกัด,"1,620,000",,0,,"1,620,000",0,"1,540,000,000.00","245,000,000.00"
CRC,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จํากัด,0,21200000,0,8600000,21200000,8600000,"247,000,000,000.00","228,000,000,000.00"
CRD,บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,"AST MASTER CO., LTD.",บริษัท เอเอสที มาสเตอร์ จำกัด,"1,450,000.00","390,000.00",,,"1,840,000.00",,"978,000,000.00","918,000,000.00"
CREDIT,ธนาคารไทยเครดิต จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"6,200,000.00","432,000.00",,,"6,632,000.00",0,"210,000,000,000.00","15,400,000,000.00"
CSC,บริษัท ฝาจีบ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,1380000,0,30000,0,1380000,30000,"5,190,000,000.00","3,590,000,000.00"
CSP,บริษัท ซีเอสพี สตีลเซ็นเตอร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"870,000",,0,,"870,000",0,"1,730,000,000.00","2,220,000,000.00"
CSR,บริษัท เทพธานีกรีฑา จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,SP AUDIT COMPANY LIMITED,บริษัท เอสพีออดิท จำกัด,590000,0,0,0,590000,0,"1,400,000,000.00","195,000,000.00"
CSS,บริษัท คอมมิวนิเคชั่น แอนด์ ซิสเต็มส์ โซลูชั่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2200000,1080000,0,0,3280000,0,"3,040,000,000.00","3,890,000,000.00"
CTARAF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โรงแรมและรีสอร์ทในเครือฯ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,,บริษัท สำนักงาน อีวาย จำกัด,"528,000.00",,,,"528,000.00",,,
CTW,บริษัท จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,,,0,0,"4,880,000",0,"6,030,000,000.00","5,800,000,000.00"
CV,บริษัท โคลเวอร์ เพาเวอร์ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",บริษัท ดีลอยท์ ทู้ช โธมัทสุ ไชยยศ สอบบัญชี จำกัด,"2,460,000",,,,,"5,393,000","4,440,000,000.00","1,030,000,000.00"
CWT,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,RSM AUDIT SERVICES (THAILAND),บริษัท อาร์เอสเอ็ม ออดิท เซอร์วิสเซส (ประเทศไทย) จำกัด,"7,565,000",,"429,685",,"7,565,000","429,685","3,500,000,000.00","1,380,000,000.00"
D,บริษัท เดนทัล คอร์ปอเรชั่น จำกัด (มหาชน),mai,บริการ,-,"DELOITTE TOUCHE TOHMATSU JAIYOS AUDIT CO., LTD.",ไม่ระบุในแหล่งข้อมูล,,,,,,,"1,350,000,000.00","1,050,000,000.00"
DCC,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,"1,600,000.00","600,000.00",,,"2,200,000.00",0,"10,500,000,000.00","6,310,000,000.00"
DCON,บริษัท ดีคอนโปรดักส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,"D I A INTERNATIONAL AUDIT CO.,LTD.",บริษัทสอบบัญชี ดี ไอ เอ อินเตอร์เนชันแนล จํากัด,1625000,1130000,0,0,2755000,0,"3,810,000,000.00","906,000,000.00"
DDD,บริษัท ดู เดย์ ดรีม จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,KPMG PHOOMCHAI AUDIT LIMITED,ไม่ระบุในแหล่งข้อมูล,,,,,,,"4,830,000,000.00","1,340,000,000.00"
DELTA,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"5,410,000.00","1,460,000.00",,,"6,870,000.00",0,"154,000,000,000.00","198,000,000,000.00"
DEMCO,บริษัท เด็มโก้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,A.M.T. & ASSOCIATES,สำนักงาน เอ. เอ็ม. ที. แอสโซซิเอท,"1,600,000.00","500,000.00","270,763.00","60,184.00","2,100,000.00","330,947.00","6,000,000,000.00","2,140,000,000.00"
DEXON,บริษัท เด็กซ์ซอน เทคโนโลยี จำกัด (มหาชน),mai,บริการ,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2100000,2100000,210000,0,4200000,210000,"1,090,000,000.00","755,000,000.00"
DHOUSE,บริษัท ดีเฮ้าส์พัฒนา จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,"2,310,000.00",,0,0,"2,310,000.00",0,"832,000,000.00","197,000,000.00"
