Symbol,Company,Market,Industry,Sector,Auditor,Auditor_Original,Audit_fee,Audit_fee(Sub),Other_fee,Other_fee(Sub),Totat_audit_fee,Totat_other_fee,รวมสินทรัพย์,รายได้จากการดำเนินงาน
SVR,บริษัท สิวารมณ์ เรียลเอสเตท จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,KARIN AUDIT COMPANY LIMITED,N/A,,,,,,,"1,700,000,000.00","506,000,000.00"
SVT,บริษัท ซันเวนดิ้ง เทคโนโลยี จำกัด (มหาชน),SET,บริการ,พาณิชย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2490000,,3710,,2490000,3710,"1,840,000,000.00","2,740,000,000.00"
SWC,บริษัท เชอร์วู้ด คอร์ปอเรชั่น (ประเทศไทย) จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,,,0,0,"2,980,000",0,"1,360,000,000.00","1,740,000,000.00"
SYMC,บริษัท ซิมโฟนี่ คอมมูนิเคชั่น จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,"2,160,000",,0,0,"2,160,000",0,"4,820,000,000.00","2,100,000,000.00"
SYNEX,บริษัท ซินเน็ค (ประเทศไทย) จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,KPMG PHOOMCHAI AUDIT LIMITED,บริษัท เคพีเอ็มจี ภูมิไชย สอบบัญชี จำกัด,,,,,,,"16,500,000,000.00","47,400,000,000.00"
SYNTEC,บริษัท ซินเท็ค คอนสตรัคชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,KARIN AUDIT COMPANY LIMITED,บริษัท กรินทร์ ออดิท จำกัด,4180500,,,,4180500,,"10,700,000,000.00","7,990,000,000.00"
TACC,บริษัท ที.เอ.ซี. คอนซูเมอร์ จำกัด (มหาชน),mai,เกษตรและอุตสาหกรรมอาหาร,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"2,250,000.00","250,000.00",0,0,"2,500,000.00",0,"1,320,000,000.00","2,400,000,000.00"
TAE,บริษัท ไทย อะโกร เอ็นเนอร์ยี่ จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,1400000,,,,1400000,,"2,880,000,000.00","1,950,000,000.00"
TAKUNI,บริษัท ทาคูนิ กรุ๊ป จำกัด (มหาชน),mai,ทรัพยากร,-,FORVIS MAZARS COMPANY LIMITED,บริษัท ฟอร์วิส มาซาร์ส จำกัด,5410000,,,,5410000,623981.91,"2,250,000,000.00","2,430,000,000.00"
TAN,บริษัท ธนจิรา รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,บริการ,พาณิชย์,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,3180000,2520000,,,5700000,,"2,720,000,000.00","1,860,000,000.00"
TAPAC,บริษัท ทาพาโก้ จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,PKF AUDIT (THAILAND) LIMITED,บริษัท พีเคเอฟ ออดิท (ประเทศไทย) จำกัด,"4,000,000",,0,0,"4,000,000",0,"1,830,000,000.00","1,790,000,000.00"
TASCO,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,3200000,6670000,5655000,,9870000,5655000,"22,000,000,000.00","27,000,000,000.00"
TATG,บริษัท ไทย ออโต ทูลส์ แอนด์ ดาย จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,"1,900,000.00","2,770,000.00",,,"4,670,000.00",0,"2,160,000,000.00","2,470,000,000.00"
TBN,บริษัท ทีบีเอ็น คอร์ปอเรชั่น จำกัด (มหาชน),mai,เทคโนโลยี,-,PRICEWATERHOUSE COOPERS ABAS LIMITED,บริษัท ไพร้ซวอเตอร์เฮาส์คูเปอร์ส เอบีเอเอส จำกัด,2290000,50000,125100,3500,2340000,128600,"707,000,000.00","376,000,000.00"
TC,บริษัท ทรอปิคอลแคนนิ่ง (ประเทศไทย) จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,KPMG PHOOMCHAI AUDIT LIMITED,N/A,,,,,,,"3,840,000,000.00","6,410,000,000.00"
TCAP,บริษัท ทุนธนชาต จำกัด (มหาชน),SET,ธุรกิจการเงิน,ธนาคาร,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด และ บริษัท ฟอร์วิส มาซาร์ส จำกัด,"1,150,000","9,450,000",,"6,150,000","10,600,000","6,150,000","155,000,000,000.00","16,600,000,000.00"
TCC,บริษัท ไทย แคปปิตอล คอร์ปอเรชั่น จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,SIAM TRUTH AUDIT COMPANY LIMITED,บริษัท สยาม ทรูธ สอบบัญชี จำกัด,"1,180,000","1,697,712.97",0,0,"2,877,712.97",0,"1,520,000,000.00","912,000,000.00"
TCJ,บริษัท ที.ซี.เจ.เอเซีย จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,"DHARMNITI AUDITING CO., LTD.",N/A,,,,,,,"2,500,000,000.00","1,260,000,000.00"
TCMC,บริษัท ทีซีเอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,3400000,2600000,,,6000000,,"5,190,000,000.00","4,980,000,000.00"
TCOAT,บริษัท อุตสาหกรรมผ้าเคลือบพลาสติกไทย จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,"DHARMNITI AUDITING CO., LTD.",บริษัท สอบบัญชีธรรมนิติ จำกัด,"787,000","297,500",,,"1,084,500",,"651,000,000.00","670,000,000.00"
TEAM,บริษัท ทีมพรีซิชั่น จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,DR.VIRACH AND ASSOCIATES,บริษัท สำนักงาน ดร. วิรัช แอนด์ แอสโซซิเอทส์ จำกัด,1571158,,120000,,1571158,120000,"2,250,000,000.00","2,830,000,000.00"
TEAMG,บริษัท ทีม คอนซัลติ้ง เอนจิเนียริ่ง แอนด์ แมเนจเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,EY OFFICE LIMITED,บริษัท สำนักงาน อีวาย จำกัด,2880000,,,,2880000,,"3,630,000,000.00","2,500,000,000.00"
